"","X","Y","OBJECTID","LU","DESCR","Shape__Are","Shape__Len","xcoord","ycoord"
"4",577180.9877,2851346.78521,2113,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",2988.86328,226.10539,577180.9877,2851346.78521
"30",574945.35729,2851159.78567,2482,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",780.94336,119.41292,574945.35729,2851159.78567
"635",577228.27014,2849759.23161,10765,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1049.90234,130.58752,577228.27014,2849759.23161
"825",576355.19369,2850458.69913,15442,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",7625.53711,401.40145,576355.19369,2850458.69913
"1161",574357.68393,2850392.26711,22090,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",4994.7793,348.16778,574357.68393,2850392.26711
"1178",576066.73593,2850634.92044,22339,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",48620.37695,943.80672,576066.73593,2850634.92044
"1462",573868.86519,2850024.13091,27791,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",2793.85742,208.3114,573868.86519,2850024.13091
"1701",576617.66544,2851319.22572,32984,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",501.27148,129.76212,576617.66544,2851319.22572
"1951",576322.71264,2848599.66718,39193,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1776.96875,170.71533,576322.71264,2848599.66718
"2372",577352.71165,2850376.08878,44200,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1093.17773,193.80638,577352.71165,2850376.08878
"2417",576320.70569,2850199.17186,44861,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",2642.20117,205.62147,576320.70569,2850199.17186
"2533",577972.29588,2851085.34768,49190,115,"Sports Stadiums, Arenas, and Tracks.",13150.9043,451.49729,577972.29588,2851085.34768
"2719",577985.25672,2851290.68515,54913,115,"Sports Stadiums, Arenas, and Tracks.",7640.2793,348.174,577985.25672,2851290.68515
"2764",568736.91101,2850148.45775,51652,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1980.26172,182.22902,568736.91101,2850148.45775
"2799",577965.10922,2851213.88435,52168,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",1646.64844,165.73449,577965.10922,2851213.88435
"2852",572439.96511,2850308.53515,52994,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",2249.17188,194.08264,572439.96511,2850308.53515
"2892",574476.30687,2850963.9213,55737,115,"Sports Stadiums, Arenas, and Tracks.",147724.83984,1603.86504,574476.30687,2850963.9213
"3188",572872.71375,2850966.56119,61338,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",0.21289,111.51632,572872.71375,2850966.56119
"3833",578003.90111,2851193.0407,73491,115,"Sports Stadiums, Arenas, and Tracks.",5224.69531,305.17527,578003.90111,2851193.0407
"3891",571463.86965,2851105.98522,74605,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",20.7168,402.76542,571463.86965,2851105.98522
"4243",569138.56459,2850343.45428,80574,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",0.47266,157.68866,569138.56459,2850343.45428
"4676",576635.86273,2851282.16551,90113,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",0.04492,12.48492,576635.86273,2851282.16551
"4826",576337.41396,2848276.01862,92655,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1099.22852,130.60495,576337.41396,2848276.01862
"5593",570808.62166,2851129.42798,108221,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",20886.35156,726.52705,570808.62166,2851129.42798
"5712",574702.73525,2847301.59346,111887,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",15810.36328,554.79681,574702.73525,2847301.59346
"5760",574814.52775,2847150.58023,110727,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",2926.41211,218.90965,574814.52775,2847150.58023
"6270",577702.69168,2849718.76818,118439,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",2003.47656,178.32123,577702.69168,2849718.76818
"7053",578204.76196,2851165.58636,7322,115,"Sports Stadiums, Arenas, and Tracks.",139926.82227,1494.07373,578204.76196,2851165.58636
"7090",579331.50889,2852378.26247,6202,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1450.16211,152.99398,579331.50889,2852378.26247
"7425",576154.75441,2852179.88369,15878,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",3894.96094,278.52123,576154.75441,2852179.88369
"7449",576267.32248,2854593.12364,16475,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1679.93359,165.4893,576267.32248,2854593.12364
"7490",577711.27104,2854585.9767,17652,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",712.3457,120.96231,577711.27104,2854585.9767
"7656",579549.43034,2851053.60668,22698,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",0.43555,116.72311,579549.43034,2851053.60668
