"","X","Y","OBJECTID","LU","DESCR","Shape__Are","Shape__Len","xcoord","ycoord"
"76",577021.018,2851488.00361,1311,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",668.75195,136.9964,577021.018,2851488.00361
"343",575078.68705,2850405.21022,6220,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",3145.66797,230.35088,575078.68705,2850405.21022
"505",576408.62389,2849955.07663,8453,414,"Colleges and Universities, Including Research Centers, Public and Private.",4710.20312,346.52431,576408.62389,2849955.07663
"520",574672.25629,2851324.08257,8718,414,"Colleges and Universities, Including Research Centers, Public and Private.",739.66992,114.19562,574672.25629,2851324.08257
"538",568742.16378,2850226.62814,11062,414,"Colleges and Universities, Including Research Centers, Public and Private.",497.04297,89.81093,568742.16378,2850226.62814
"778",573345.3361,2851396.15763,14348,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1294.93945,141.36187,573345.3361,2851396.15763
"795",576318.50212,2850251.8022,14707,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1634.35742,165.651,576318.50212,2850251.8022
"805",577193.03856,2850573.32406,14852,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",519.66016,93.5652,577193.03856,2850573.32406
"840",572075.15477,2850402.33287,15843,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",24425.33789,716.66002,572075.15477,2850402.33287
"899",576369.38582,2849847.98775,16956,414,"Colleges and Universities, Including Research Centers, Public and Private.",11539.0293,445.23577,576369.38582,2849847.98775
"900",571348.73625,2849827.77121,16960,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1366.6875,147.87038,571348.73625,2849827.77121
"988",576506.51425,2851224.987,19714,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",821.1543,130.26781,576506.51425,2851224.987
"1221",568603.77588,2850144.84659,22991,414,"Colleges and Universities, Including Research Centers, Public and Private.",3873.03906,256.43544,568603.77588,2850144.84659
"1228",577053.41331,2850828.99764,23109,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",637.62891,114.06951,577053.41331,2850828.99764
"1422",576278.73752,2849649.3937,24943,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2600.82812,237.51678,576278.73752,2849649.3937
"1514",575546.55398,2848678.70196,29143,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",697.49023,106.57726,575546.55398,2848678.70196
"1570",572324.71626,2850314.8466,31472,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",912.5,120.95553,572324.71626,2850314.8466
"1762",577986.66372,2847968.28325,36351,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1484.02344,152.80324,577986.66372,2847968.28325
"1783",570429.79137,2851013.48628,36632,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",7830.9668,440.26399,570429.79137,2851013.48628
"1981",577178.5999,2851075.22123,39722,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",68211.52734,1107.92994,577178.5999,2851075.22123
"2038",576396.92459,2849931.03179,40556,414,"Colleges and Universities, Including Research Centers, Public and Private.",9452.05273,605.66971,576396.92459,2849931.03179
"2061",575942.26091,2850780.37929,40960,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",42238.69336,903.21801,575942.26091,2850780.37929
"2128",575979.80634,2849655.99945,38083,414,"Colleges and Universities, Including Research Centers, Public and Private.",514.86523,100.35161,575979.80634,2849655.99945
"2129",573655.92165,2850544.66727,38101,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",8964.18164,372.92366,573655.92165,2850544.66727
"2346",575365.48575,2851198.99551,45759,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",453.14062,110.05224,575365.48575,2851198.99551
"2364",576711.77079,2847297.94117,44086,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",14869.11523,541.14037,576711.77079,2847297.94117
"2546",575410.06638,2851278.494,49349,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",777.72852,124.83076,575410.06638,2851278.494
