"","X","Y","OBJECTID","LU","DESCR","Shape__Are","Shape__Len","xcoord","ycoord"
"21",576136.35407,2849641.94093,2346,113,"Office Building.",4009.56055,255.89603,576136.35407,2849641.94093
"36",576320.88212,2848642.7538,2611,113,"Office Building.",1441.875,150.3287,576320.88212,2848642.7538
"39",571910.11548,2850274.78467,2695,113,"Office Building.",3516.77539,291.09335,571910.11548,2850274.78467
"51",576319.17399,2848532.90698,1006,113,"Office Building.",2997.79297,224.29582,576319.17399,2848532.90698
"61",576328.6265,2848227.18697,1100,170,"Office and/or Business and other services (ground level) / Residential (upper levels). Low-density < 15 dwellings per acre or 4 floors.",774.40039,111.95508,576328.6265,2848227.18697
"63",575305.47632,2847981.16115,1133,113,"Office Building.",1404.63477,150.5757,575305.47632,2847981.16115
"74",576334.54051,2848340.90375,1267,113,"Office Building.",2371.81055,206.68843,576334.54051,2848340.90375
"98",575588.1533,2848155.5041,1632,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",3030.12305,225.1336,575588.1533,2848155.5041
"100",572491.83178,2851067.16649,1670,113,"Office Building.",8531.41406,424.81813,572491.83178,2851067.16649
"108",575287.44809,2850418.86491,1791,113,"Office Building.",1937.41797,185.07509,575287.44809,2850418.86491
"120",577816.04077,2850504.93782,1957,113,"Office Building.",1711.71484,195.88742,577816.04077,2850504.93782
"122",576376.79523,2848730.91242,1988,113,"Office Building.",1803.80273,172.85793,576376.79523,2848730.91242
"138",577498.15974,2848068.60654,306,113,"Office Building.",7795.13672,489.84113,577498.15974,2848068.60654
"146",577048.0101,2850945.99929,440,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",365.80469,96.42785,577048.0101,2850945.99929
"213",577102.99101,2850821.68998,3578,113,"Office Building.",540.91602,98.8275,577102.99101,2850821.68998
"257",573803.4398,2851259.09604,4536,113,"Office Building.",693.16211,113.60351,573803.4398,2851259.09604
"258",573519.07871,2850435.33336,4549,113,"Office Building.",3870.76758,276.1136,573519.07871,2850435.33336
"285",575545.06287,2848710.84356,7130,170,"Office and/or Business and other services (ground level) / Residential (upper levels). Low-density < 15 dwellings per acre or 4 floors.",1484.73242,155.27562,575545.06287,2848710.84356
"287",574159.50557,2851231.04158,7166,113,"Office Building.",2262.45117,186.67887,574159.50557,2851231.04158
"293",577388.12698,2849768.12791,7256,113,"Office Building.",370.20312,106.8422,577388.12698,2849768.12791
"318",576121.70501,2848075.81511,7708,113,"Office Building.",1211.56055,139.25656,576121.70501,2848075.81511
"346",576391.43389,2848368.14975,6254,113,"Office Building.",590.85156,98.69527,576391.43389,2848368.14975
"378",573948.61122,2851251.29509,5036,113,"Office Building.",965.11914,137.58389,573948.61122,2851251.29509
"393",575903.98374,2847982.65386,5359,113,"Office Building.",4246.40039,271.67832,575903.98374,2847982.65386
"400",575637.98079,2849643.59062,5620,113,"Office Building.",623.20898,104.4566,575637.98079,2849643.59062
"419",576231.32008,2850565.55559,5917,113,"Office Building.",2877.46875,216.08475,576231.32008,2850565.55559
"420",577322.98131,2851284.26745,5945,113,"Office Building.",944.29297,143.9383,577322.98131,2851284.26745
"432",576282.55726,2851146.81062,9216,113,"Office Building.",2132.57617,185.20916,576282.55726,2851146.81062
"482",574808.93296,2850394.93193,8049,113,"Office Building.",1803.6582,171.10596,574808.93296,2850394.93193
"510",576226.6255,2850685.08803,8515,113,"Office Building.",2076.20898,190.2748,576226.6255,2850685.08803
"516",574680.11345,2851168.69523,8606,113,"Office Building.",756.14844,110.52783,574680.11345,2851168.69523
"528",573261.11519,2851156.35921,8833,113,"Office Building.",873.93164,117.52027,573261.11519,2851156.35921
"574",574990.69978,2851262.95553,11677,113,"Office Building.",1067.80078,136.26684,574990.69978,2851262.95553
"580",575216.49425,2847952.14715,11807,113,"Office Building.",3358.12305,268.18902,575216.49425,2847952.14715
"581",577282.48636,2848127.97717,11815,113,"Office Building.",8610.23633,548.57749,577282.48636,2848127.97717
"605",576036.77936,2848074.99789,10337,113,"Office Building.",2770.01758,220.05587,576036.77936,2848074.99789
"626",569900.03562,2850226.34383,10604,113,"Office Building.",642.14453,110.24302,569900.03562,2850226.34383
"629",577874.13206,2850623.05327,10662,113,"Office Building.",2382.93164,220.27364,577874.13206,2850623.05327
"651",577086.93014,2851266.04021,12094,113,"Office Building.",2203.24805,211.32495,577086.93014,2851266.04021
"666",575820.26402,2848065.87477,12426,113,"Office Building.",1067.92188,128.94974,575820.26402,2848065.87477
"673",576078.4631,2850447.78598,12599,113,"Office Building.",1639.04688,167.25861,576078.4631,2850447.78598
"682",576387.1639,2848503.58188,12702,113,"Office Building.",2494.97656,210.4233,576387.1639,2848503.58188
"716",577239.39187,2850562.0221,13225,113,"Office Building.",4849.32031,283.37282,577239.39187,2850562.0221
"744",573186.001,2851151.52756,13836,113,"Office Building.",3381.86914,262.43359,573186.001,2851151.52756
"765",573772.52116,2850641.3677,14146,113,"Office Building.",1121.56055,133.96239,573772.52116,2850641.3677
"770",577137.92234,2848115.7084,14214,113,"Office Building.",575.45898,102.4889,577137.92234,2848115.7084
"871",575789.23096,2850498.92286,16301,113,"Office Building.",1489.70703,151.73289,575789.23096,2850498.92286
"883",572977.15943,2850402.00922,16567,113,"Office Building.",1236.48633,148.14204,572977.15943,2850402.00922
"898",574783.19974,2850453.80559,16939,113,"Office Building.",1658.70508,166.96182,574783.19974,2850453.80559
"910",577183.76809,2850433.49965,17079,113,"Office Building.",1776.70898,174.12184,577183.76809,2850433.49965
"912",572125.97507,2850308.83618,17098,170,"Office and/or Business and other services (ground level) / Residential (upper levels). Low-density < 15 dwellings per acre or 4 floors.",881.77734,120.17452,572125.97507,2850308.83618
"914",577000.48897,2848110.46532,17110,113,"Office Building.",556.16211,99.04761,577000.48897,2848110.46532
"984",577037.10035,2851288.23635,19645,170,"Office and/or Business and other services (ground level) / Residential (upper levels). Low-density < 15 dwellings per acre or 4 floors.",911.36719,124.40003,577037.10035,2851288.23635
"989",573801.09698,2850057.14675,19751,113,"Office Building.",1422.60742,149.5398,573801.09698,2850057.14675
"991",577780.8694,2851363.78319,19794,450,"Governmental/Public Administration (Other than Military or Penal).",691.61328,102.83185,577780.8694,2851363.78319
"993",577889.73862,2850324.19953,19879,450,"Governmental/Public Administration (Other than Military or Penal).",1.43945,451.32347,577889.73862,2850324.19953
"1012",573794.75556,2850105.75906,18153,113,"Office Building.",1842.55664,171.31999,573794.75556,2850105.75906
"1055",575579.95877,2848215.09068,21003,113,"Office Building.",1114.29492,133.54191,575579.95877,2848215.09068
"1058",575107.25381,2847974.25806,21058,113,"Office Building.",695.91211,115.27351,575107.25381,2847974.25806
"1076",576395.55696,2848285.89657,21482,113,"Office Building.",626.41016,100.66872,576395.55696,2848285.89657
"1093",575852.24845,2851232.31431,21880,113,"Office Building.",854.30273,119.68316,575852.24845,2851232.31431
"1130",574592.68106,2850619.28691,20550,113,"Office Building.",3650.46094,236.93607,574592.68106,2850619.28691
"1132",576348.17722,2849313.7291,20583,113,"Office Building.",935.95508,120.14971,576348.17722,2849313.7291
"1136",576997.91728,2851276.05766,20681,113,"Office Building.",813.38281,128.91741,576997.91728,2851276.05766
"1159",571655.53168,2850276.66937,22046,113,"Office Building.",2832.64062,219.90932,571655.53168,2850276.66937
"1196",577660.57626,2850503.7692,22541,113,"Office Building.",1034.75781,158.05821,577660.57626,2850503.7692
"1205",574866.65004,2851195.34981,22665,113,"Office Building.",2175.04883,195.07818,574866.65004,2851195.34981
"1208",570839.07599,2851041.20599,22696,113,"Office Building.",1843.18164,208.69545,570839.07599,2851041.20599
"1242",576241.74665,2850331.37353,23339,113,"Office Building.",959.32812,141.97895,576241.74665,2850331.37353
"1260",569280.55235,2850022.58758,23655,450,"Governmental/Public Administration (Other than Military or Penal).",59984.98047,1143.82165,569280.55235,2850022.58758
"1321",577146.19022,2848055.99669,25869,113,"Office Building.",874.97656,119.58543,577146.19022,2848055.99669
"1331",572007.62051,2851476.03585,26082,113,"Office Building.",33118.53906,838.36402,572007.62051,2851476.03585
"1343",576347.08976,2848249.67825,26397,113,"Office Building.",280.74609,70.8972,576347.08976,2848249.67825
"1401",575690.17334,2848060.26421,24506,113,"Office Building.",1922.25195,174.64155,575690.17334,2848060.26421
"1428",577141.55703,2849879.75928,27067,113,"Office Building.",3030.09766,244.22594,577141.55703,2849879.75928
"1434",577249.08922,2850499.66976,27130,113,"Office Building.",644.9707,110.24518,577249.08922,2850499.66976
"1451",574879.108,2851164.85036,27513,113,"Office Building.",1318.65625,145.40154,574879.108,2851164.85036
"1465",576328.66434,2848479.27484,27809,170,"Office and/or Business and other services (ground level) / Residential (upper levels). Low-density < 15 dwellings per acre or 4 floors.",652.8457,102.35818,576328.66434,2848479.27484
"1466",569622.38124,2850184.45723,27817,113,"Office Building.",640.26172,118.59851,569622.38124,2850184.45723
"1470",574741.53705,2851190.42204,28001,113,"Office Building.",1459.79492,153.69561,574741.53705,2851190.42204
"1513",574969.36095,2851199.62514,29134,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",618.33789,107.6485,574969.36095,2851199.62514
