"","X","Y","OBJECTID","LU","DESCR","Shape__Are","Shape__Len","xcoord","ycoord"
"1",575251.88031,2850806.85594,2009,20,"Two-Family (Duplexes).",1148.38867,135.54526,575251.88031,2850806.85594
"2",575031.77446,2849813.77645,2024,10,"Single-Family, Med.-Density (2-5 DU/Gross Acre).",868.42773,127.39489,575031.77446,2849813.77645
"3",573326.54402,2850455.38811,2061,10,"Single-Family, Med.-Density (2-5 DU/Gross Acre).",1569.73242,160.34549,573326.54402,2850455.38811
"5",577295.55444,2850745.48248,2119,20,"Two-Family (Duplexes).",402.20312,84.49208,577295.55444,2850745.48248
"6",572247.11269,2850103.53292,2137,11,"Single-Family, High Density (Over 5 DU/Gross Acre, other than Townhouses, Duplexes and Mobile Homes).",616.56836,102.03085,572247.11269,2850103.53292
"7",575863.90246,2849829.68468,2168,20,"Two-Family (Duplexes).",681.76758,113.328,575863.90246,2849829.68468
"10",568484.45609,2849745.00176,2200,10,"Single-Family, Med.-Density (2-5 DU/Gross Acre).",5600.63477,334.35559,568484.45609,2849745.00176
"11",576041.84381,2851360.59703,2211,10,"Single-Family, Med.-Density (2-5 DU/Gross Acre).",3066.2168,286.43025,576041.84381,2851360.59703
"12",575481.80599,2850343.99174,2214,30,"Multi-Family, Low-Density (Under 25 DU/Gross Acre).",913.12695,135.02383,575481.80599,2850343.99174
"13",577995.33304,2848792.98277,2223,10,"Single-Family, Med.-Density (2-5 DU/Gross Acre).",491.25977,98.50818,577995.33304,2848792.98277
"14",573195.06109,2850273.67109,2256,20,"Two-Family (Duplexes).",583.08594,97.83678,573195.06109,2850273.67109
"15",575315.50342,2849823.71374,2281,20,"Two-Family (Duplexes).",786.6543,124.08546,575315.50342,2849823.71374
"16",575302.85172,2850697.74692,2306,10,"Single-Family, Med.-Density (2-5 DU/Gross Acre).",2090.31641,189.71474,575302.85172,2850697.74692
"17",576585.54125,2849243.51062,2312,11,"Single-Family, High Density (Over 5 DU/Gross Acre, other than Townhouses, Duplexes and Mobile Homes).",8130.09766,391.8568,576585.54125,2849243.51062
"18",577799.30648,2849550.40463,2321,11,"Single-Family, High Density (Over 5 DU/Gross Acre, other than Townhouses, Duplexes and Mobile Homes).",1390.46484,149.68102,577799.30648,2849550.40463
"19",575748.58526,2847669.8902,2335,20,"Two-Family (Duplexes).",16459.4375,811.29002,575748.58526,2847669.8902
"20",577870.20519,2850774.60795,2342,20,"Two-Family (Duplexes).",515.17969,93.65518,577870.20519,2850774.60795
"22",576127.95087,2850987.1716,2378,20,"Two-Family (Duplexes).",819.62891,118.05792,576127.95087,2850987.1716
"23",573204.20585,2850037.82277,2382,20,"Two-Family (Duplexes).",662.74805,106.71067,573204.20585,2850037.82277
"24",577592.24662,2850960.1564,2414,20,"Two-Family (Duplexes).",743.67578,120.79326,577592.24662,2850960.1564
"25",576434.02147,2851016.75824,2418,20,"Two-Family (Duplexes).",2126.60938,244.00724,576434.02147,2851016.75824
"26",575843.51595,2850501.33113,2420,30,"Multi-Family, Low-Density (Under 25 DU/Gross Acre).",2153.625,182.87138,575843.51595,2850501.33113
"27",575638.94897,2850091.06362,2453,11,"Single-Family, High Density (Over 5 DU/Gross Acre, other than Townhouses, Duplexes and Mobile Homes).",594.13281,110.7037,575638.94897,2850091.06362
"28",573322.19475,2850034.25347,2474,10,"Single-Family, Med.-Density (2-5 DU/Gross Acre).",19692.63867,591.96279,573322.19475,2850034.25347
